source_index,original_4mm_grid_index,mni_x_mm,mni_y_mm,mni_z_mm,rest_beta_power,hold_beta_power,hold_vs_rest_db,rest_vs_hold_erd_db
165,11500,22.0,-56.0,-48.00000000000001,2.5474549292805128e-23,2.859832189183058e-23,0.5023404109157953,-0.5023404109157953
166,11502,30.000000000000004,-56.0,-48.00000000000001,2.3681937740185748e-23,2.689410361682908e-23,0.5523983875991618,-0.5523983875991618
167,11504,38.0,-56.0,-48.00000000000001,2.1597800055607378e-23,2.4812607351926575e-23,0.602628867703488,-0.602628867703488
168,11506,46.000000000000014,-56.0,-48.00000000000001,1.9670126864979846e-23,2.2742676422106847e-23,0.6303441138917293,-0.6303441138917293
169,11508,54.000000000000014,-56.0,-48.00000000000001,1.7627149876533525e-23,2.0653299832372647e-23,0.6880735275773906,-0.6880735275773906
170,11558,-50.000000000000014,-48.0,-48.00000000000001,2.22330742751579e-23,2.4822349565355043e-23,0.478433684965529,-0.478433684965529
171,11560,-42.0,-48.0,-48.00000000000001,2.4215872239640848e-23,2.7951405393298264e-23,0.6230353238242777,-0.6230353238242777
172,11562,-34.0,-48.0,-48.00000000000001,2.7238911940055055e-23,3.1937450197621236e-23,0.6911048458390427,-0.6911048458390427
173,11564,-26.000000000000007,-48.0,-48.00000000000001,3.02494390225651e-23,3.5319009153108286e-23,0.6729118623867552,-0.6729118623867552
174,11566,-18.0,-48.0,-48.00000000000001,3.185464994143708e-23,3.665875994389728e-23,0.6100493311677123,-0.6100493311677123
175,11568,-10.0,-48.0,-48.00000000000001,3.19974177262773e-23,3.610071636133655e-23,0.5240088881992352,-0.5240088881992352
176,11570,-2.0,-48.0,-48.00000000000001,3.09240842796607e-23,3.4122501366592385e-23,0.42744011616492134,-0.42744011616492134
177,11572,6.000000000000001,-48.0,-48.00000000000001,2.9549602795601175e-23,3.1946301507430956e-23,0.3386893870102706,-0.3386893870102706
178,11574,14.000000000000002,-48.0,-48.00000000000001,2.8184951054312713e-23,3.043311949030127e-23,0.3332918622215346,-0.3332918622215346
179,11576,22.0,-48.0,-48.00000000000001,2.664566936663143e-23,2.9116858289764017e-23,0.3851787813778793,-0.3851787813778793
180,11578,30.000000000000004,-48.0,-48.00000000000001,2.4704692972574524e-23,2.7395718764792316e-23,0.44903238348959473,-0.44903238348959473
