source_index,hemisphere,vertex,x_m,y_m,z_m,label,beta_pmbr_db
4398,right,132393,0.04300520590294856,0.058061377624205324,0.05520728828682276,rostralmiddlefrontal-rh,0.5218665922554637
4399,right,132430,0.03499880847570402,0.055598613203299646,0.05132389290696486,parstriangularis-rh,0.427916723806494
4400,right,132488,0.042768269968816275,0.05375637613275232,0.046607462855756246,parstriangularis-rh,0.4209293418168556
4401,right,132564,0.03354780123541356,0.05144271029619091,0.043916443326330046,parstriangularis-rh,0.40937972896871705
4402,right,132625,0.03805657434930588,0.049944501445262746,0.03829240889652147,parsorbitalis-rh,0.5124605676286779
4403,right,132674,0.03351061936173664,0.04809481546832581,0.03587349154541937,lateralorbitofrontal-rh,0.5031623894111305
4404,right,132753,0.019280168042307387,0.04544978537107375,0.03097007357234737,lateralorbitofrontal-rh,0.5279889039706837
4405,right,132926,0.009719101841238205,0.07365640989094047,0.08602357391607697,superiorfrontal-rh,0.2476447828577082
4406,right,132935,0.005966714905970847,0.072565267059569,0.08482122817765894,superiorfrontal-rh,0.22570252114851264
4407,right,133038,0.013226889902218538,0.06785188028007604,0.07332741319102552,superiorfrontal-rh,0.2544782601999346
4408,right,133106,0.005912124668471103,0.0648122375407646,0.06912786980231478,caudalanteriorcingulate-rh,0.23012393269399115
4409,right,133128,0.03830577743185146,0.06310055490675136,0.06279260696507068,rostralmiddlefrontal-rh,0.5192147568339235
4410,right,133272,0.04915749145367487,0.05736662729411772,0.05022891633135304,parstriangularis-rh,0.473969546287743
4411,right,133294,0.028868965195895113,0.05603069946005268,0.049071008493376894,parstriangularis-rh,0.39903935368199184
4412,right,133347,7.506780143716474e-05,0.05376702003717242,0.046516823407364946,unknown,0.4098817017338448
4413,right,133437,0.04126367763284485,0.051877228510219364,0.04119928771405362,parsorbitalis-rh,0.4946187047239141
4414,right,133511,0.0034440950041046913,0.0494367020504395,0.03793091272559031,medialorbitofrontal-rh,0.49363865049547795
4415,right,133558,0.03745983392640159,0.04880658660495572,0.03395695983433785,lateralorbitofrontal-rh,0.5394283301691318
4416,right,133597,0.016360701177336203,0.04748350793323712,0.03291806067689192,lateralorbitofrontal-rh,0.49775942561777237
4417,right,133649,0.009547040689137181,0.04596965146977898,0.029043239419024224,lateralorbitofrontal-rh,0.5232823857354096
4418,right,133660,0.0131554383126056,0.04581168216407948,0.029985847339263766,lateralorbitofrontal-rh,0.5248765147889107
4419,right,133736,0.022551162652878327,0.04038628534470444,0.017473975650809197,temporalpole-rh,0.3710985020586577
4420,right,133760,0.02725818082518667,0.04004785073535956,0.015857282471199937,temporalpole-rh,0.4115843647455743
4421,right,133822,0.021388853208248706,0.07408243709596886,0.08429366535223752,superiorfrontal-rh,0.47862825467710046
4422,right,133858,0.012327950595293067,0.07213371960081263,0.08068635535514926,superiorfrontal-rh,0.38572916950513525
4423,right,133892,0.016973776283846213,0.07080612750963386,0.07845816056243651,superiorfrontal-rh,0.4707150220583298
4424,right,133940,0.026653221570022603,0.06740708551039654,0.07124032213235232,rostralmiddlefrontal-rh,0.455530338548745
4425,right,133998,0.011280491865317184,0.06540516997762578,0.06732991745640643,superiorfrontal-rh,0.17006254762832654
4426,right,134032,0.043433668152977355,0.0638631850000269,0.06151470433588872,rostralmiddlefrontal-rh,0.5587711582734224
4427,right,134109,0.04174027399069344,0.061209526816944027,0.05705320984086809,rostralmiddlefrontal-rh,0.5116032857985676
4428,right,134359,0.00617311947426793,0.05255462406464019,0.03981667811372176,medialorbitofrontal-rh,0.49064617947305994
4429,right,134389,0.025157272550097233,0.051650728021195816,0.03917046753920676,lateralorbitofrontal-rh,0.46322293065987863
