metric,scenario,comparison,analysis_unit,configuration_count,mean_difference,mean_difference_ci95_low,mean_difference_ci95_high,median_difference,cohen_dz,wins,ties,losses,wilcoxon_statistic,wilcoxon_p,holm_adjusted_p
deep_auc_tie_corrected,deep_only,OASTER-ERP - Dipole fitting (grid),source configuration (49 SNR cells averaged),30,0.008049886621315198,0.004625283446712023,0.011315192743764175,0.008843537414966018,0.8383223890432585,22,1,7,44.5,0.00018286748951793635,0.0009143374475896818
deep_auc_tie_corrected,deep_only,OASTER-ERP - RAP-MUSIC,source configuration (49 SNR cells averaged),30,0.005578231292517018,0.0026530612244897982,0.008571428571428596,0.007482993197278964,0.6665610865478812,21,0,9,73.5,0.0010639369807843601,0.0042557479231374404
deep_auc_tie_corrected,deep_plus_surface,OASTER-ERP - MNE,source configuration (49 SNR cells averaged),136,0.22887154861944778,0.1960674269707883,0.2626057923169267,0.22585034013605437,1.1446802564792617,118,0,18,471.5,9.560366171064001e-20,3.9525789227283885e-19
deep_auc_tie_corrected,deep_plus_surface,OASTER-ERP - dSPM,source configuration (49 SNR cells averaged),136,0.18849539815926372,0.15842286914765907,0.2182780612244898,0.19523809523809513,1.0481913177991578,117,0,19,627.0,2.0222516117048048e-18,4.0445032234096096e-18
deep_auc_tie_corrected,deep_plus_surface,OASTER-ERP - sLORETA,source configuration (49 SNR cells averaged),136,0.20038015206082435,0.16854641856742697,0.23220338135254104,0.15986394557823136,1.0504923233861316,122,0,14,555.5,5.041220103414035e-19,1.5123660310242105e-18
deep_auc_tie_corrected,deep_plus_surface,OASTER-ERP - eLORETA,source configuration (49 SNR cells averaged),136,0.2161764705882353,0.18353316326530617,0.24902135854341734,0.19591836734693882,1.1104721266774347,122,0,14,462.0,7.905157845456777e-20,3.9525789227283885e-19
deep_auc_tie_corrected,deep_plus_surface,OASTER-ERP - LCMV,source configuration (49 SNR cells averaged),136,0.019127651060424168,-0.003661714685874349,0.041928271308523384,-0.008843537414965963,0.14137343990844434,62,0,74,4091.5,0.2184939869822775,0.2184939869822775
deep_auc_tie_corrected,deep_plus_surface,OASTER-ERP - Dipole fitting (grid),source configuration (49 SNR cells averaged),136,0.2787214885954382,0.26286489595838336,0.29413815526210485,0.28775510204081634,2.9795855261874826,136,0,0,0.0,4.596701313435517e-24,3.2171025338229967e-23
deep_auc_tie_corrected,deep_plus_surface,OASTER-ERP - RAP-MUSIC,source configuration (49 SNR cells averaged),136,0.23166266506602642,0.21340511204481794,0.24951993297318928,0.2534013605442176,2.141460421459005,136,0,0,0.0,4.595860762604281e-24,3.2171025338229967e-23
deep_auc_tie_corrected,deep_plus_two_surface,OASTER-ERP - MNE,source configuration (49 SNR cells averaged),67,0.19683216570210177,0.14041983957762208,0.2524322266219921,0.17551020408163265,0.8321280398026765,51,1,15,246.5,4.0788406178935536e-08,2.0394203089467767e-07
deep_auc_tie_corrected,deep_plus_two_surface,OASTER-ERP - dSPM,source configuration (49 SNR cells averaged),67,0.16771245811757537,0.1126403695806681,0.22231698649609097,0.11972789115646254,0.7346213460034319,50,0,17,360.0,1.1380061591887468e-06,2.2760123183774937e-06
deep_auc_tie_corrected,deep_plus_two_surface,OASTER-ERP - sLORETA,source configuration (49 SNR cells averaged),67,0.18014011574779165,0.12348360239618232,0.23710275154838054,0.14693877551020418,0.7532002094113285,50,0,17,334.0,4.941398597469373e-07,1.4824195792408119e-06
deep_auc_tie_corrected,deep_plus_two_surface,OASTER-ERP - eLORETA,source configuration (49 SNR cells averaged),67,0.19900497512437812,0.14163671438724743,0.2569418215047213,0.1673469387755102,0.8273568607084096,51,0,16,279.5,7.917216686947696e-08,3.1668866747790784e-07
