case_id,development_role,label_posthoc,eeg_snr_db_posthoc_not_used,meg_snr_db_posthoc_not_used,old_fixed_3_to_1_score,eeg_gain,meg_gain,eeg_response_excess,meg_response_excess,cross_modal_consensus,snr_blind_consensus
erp-v6-hierarchical-v1-surface-calibration-035-eeg-10-meg+20,pure_deep_H1,1,-10,20,0.2867326992022242,0.011221362769599421,1.1132667085000987,0.029333196952281648,62.504728532153685,0.12299063222859472,0.04356829032712355
erp-v6-hierarchical-v1-surface-calibration-036-eeg-10-meg+20,pure_deep_H1,1,-10,20,0.31703370110322276,0.006582680736965802,1.2483867622019937,0.0,45.639199535822755,0.09723438503330085,0.037207637880614465
erp-v6-hierarchical-v1-surface-calibration-037-eeg-10-meg+20,pure_deep_H1,1,-10,20,0.3320268572759925,0.013396363285641666,1.287918339247045,0.08081029003126106,68.36828887646747,0.14474864516454053,0.05015615802338127
erp-v6-hierarchical-v1-surface-calibration-038-eeg+20-meg-10,pure_deep_H1,1,20,-10,0.41026207350293964,0.5070631419628661,0.11985886812316036,18.514974839797986,0.03177645188186218,0.36638678593905905,0.17432023517479694
erp-v6-hierarchical-v1-surface-calibration-039-eeg+20-meg-10,pure_deep_H1,1,20,-10,0.4268046148153916,0.5509671155365574,0.05431711265189419,21.898771915785293,0.09958751380082176,0.2273111671222383,0.10391248337287574
erp-v6-hierarchical-v1-surface-calibration-040-eeg+20-meg-10,pure_deep_H1,1,20,-10,0.535885195734845,0.7106836618718968,0.011489797323690027,31.119500663493184,0.04180985885354027,0.10185356902543977,0.04278426300987872
erp-v6-hierarchical-v1-surface-calibration-041-eeg+20-meg-10,pure_deep_H1,1,20,-10,0.6279560085650799,0.8244139259181581,0.038582256505845125,25.14449543490764,0.0853924195868998,0.21692952886167674,0.09593423281228224
erp-v6-hierarchical-v1-surface-calibration-042-eeg+20-meg-10,pure_deep_H1,1,20,-10,0.4878577782916546,0.5899049067430178,0.1817163929375652,18.478163067370147,0.043809045082530584,0.5091234665164845,0.24234614492801004
erp-v6-hierarchical-v1-surface-calibration-043-eeg+20-meg-10,pure_deep_H1,1,20,-10,0.6563224308894636,0.8515470998343204,0.07064842405489313,24.66451360202635,0.08886336825773111,0.31592471848998416,0.1403622585306425
erp-v6-hierarchical-v1-surface-calibration-044-eeg+20-meg-10,pure_deep_H1,1,20,-10,0.6152520333641659,0.8181281680246254,0.006623629382787404,25.293701854042002,0.023950431124984295,0.08023733580091269,0.03543346033456244
erp-v6-hierarchical-v1-surface-calibration-045-eeg+20-meg-10,pure_deep_H1,1,20,-10,0.6371753901522083,0.8261280241719028,0.07031748809312464,21.157389165840275,0.11858562392990746,0.3113387475353248,0.1435005374375289
erp-v6-hierarchical-v1-surface-calibration-046-eeg+20-meg-10,pure_deep_H1,1,20,-10,0.5458687305867166,0.7217312394238427,0.01828120407533859,30.216106879548317,0.054304492728384446,0.13314684765710905,0.05632953989909679
erp-v6-hierarchical-v1-surface-calibration-047-eeg+20-meg-10,pure_deep_H1,1,20,-10,0.36129168032920445,0.45108740141570786,0.09190451706969419,18.07623152774392,0.004668001765121277,0.29551436404015363,0.1414019664781917
erp-v6-hierarchical-v1-surface-calibration-048-eeg+20-meg-10,pure_deep_H1,1,20,-10,0.5227643463661956,0.6853979570007206,0.034863514462620454,24.325043622282195,0.0254622064079717,0.18944482506175184,0.08444913313289851
erp-v6-hierarchical-v1-surface-calibration-049-eeg+20-meg-10,pure_deep_H1,1,20,-10,0.47859522760807494,0.6203311101156358,0.053387580085392516,23.78724895945233,0.20955124514795553,0.23537103213738253,0.10548626846257012
erp-v6-hierarchical-v1-surface-calibration-050-eeg+20-meg-10,pure_deep_H1,1,20,-10,0.5144868956658656,0.6746198185678963,0.034088126959773445,23.304812502701363,0.12095020442211535,0.18573418205162798,0.08365054383701781
erp-v6-hierarchical-v1-surface-calibration-051-eeg+20-meg-10,pure_deep_H1,1,20,-10,0.33963088080866594,0.3989923456057714,0.16154648641734956,18.754127459841907,0.08372103416175625,0.41542797755057337,0.19705219568042995
erp-v6-hierarchical-v1-surface-calibration-052-eeg+20-meg-10,pure_deep_H1,1,20,-10,0.6302072732514764,0.8055503639838257,0.10417800105442804,22.771003736108167,0.1124378161143833,0.3938685716094633,0.1783772433265656
erp-v6-hierarchical-v1-surface-calibration-053-eeg+20-meg-10,pure_deep_H1,1,20,-10,0.5506535138599312,0.7183321229262742,0.04761768666090236,25.54967526660571,0.0,0.23256447346176604,0.102453917554144
erp-v6-hierarchical-v1-surface-calibration-054-eeg+20-meg-10,pure_deep_H1,1,20,-10,0.5422369612614608,0.6601971047594863,0.1883565307673844,17.27530393557986,0.18448127431016315,0.540992938807122,0.2616528349017132
erp-v6-hierarchical-v1-surface-calibration-056-eeg+20-meg-10,pure_deep_H1,1,20,-10,0.40121615040451547,0.49539491967479043,0.11867984259369065,19.41698530849545,0.0,0.36115332792501126,0.16990013229796622
