source_index,original_4mm_grid_index,mni_x_mm,mni_y_mm,mni_z_mm,rest_beta_power,hold_beta_power,hold_vs_rest_db,rest_vs_hold_erd_db
97,7934,46.000000000000014,-48.0,-56.0,8.683007196834102e-25,1.0033714471295475e-24,0.6279157719607567,-0.6279157719607567
98,7990,-34.0,-40.0,-56.0,1.1853613660052586e-24,1.3371431629732568e-24,0.5232713970281099,-0.5232713970281099
99,7992,-26.000000000000007,-40.0,-56.0,1.274365276116614e-24,1.4628875872018826e-24,0.5991702557312601,-0.5991702557312601
100,7994,-18.0,-40.0,-56.0,1.3439119107952176e-24,1.5277493535713118e-24,0.55681305619608,-0.55681305619608
101,7996,-10.0,-40.0,-56.0,1.3808711426420065e-24,1.5430636711461181e-24,0.4823069279458422,-0.4823069279458422
102,7998,-2.0,-40.0,-56.0,1.3732550640552957e-24,1.5045862839740829e-24,0.39665889196635323,-0.39665889196635323
103,8000,6.000000000000001,-40.0,-56.0,1.3141474116505397e-24,1.4240266204787752e-24,0.34874023991141234,-0.34874023991141234
104,8002,14.000000000000002,-40.0,-56.0,1.2309492223659298e-24,1.3353696075554822e-24,0.35361349343991905,-0.35361349343991905
105,8004,22.0,-40.0,-56.0,1.1605916408968501e-24,1.2672054403588143e-24,0.38167590504321003,-0.38167590504321003
106,8006,30.000000000000004,-40.0,-56.0,1.0798051429220291e-24,1.1920272685458765e-24,0.42940798731625535,-0.42940798731625535
107,8008,38.0,-40.0,-56.0,9.918589809405958e-25,1.1147143130040335e-24,0.5071364746873095,-0.5071364746873095
108,8072,-10.0,-31.999999999999993,-56.0,1.3243001648266894e-24,1.4426040311717654e-24,0.37160708331341374,-0.37160708331341374
109,8074,-2.0,-31.999999999999993,-56.0,1.3407489652968906e-24,1.4495668867963328e-24,0.3389078915836475,-0.3389078915836475
110,8076,6.000000000000001,-31.999999999999993,-56.0,1.2940399397727672e-24,1.3902834342700824e-24,0.31155667237180196,-0.31155667237180196
111,8078,14.000000000000002,-31.999999999999993,-56.0,1.2365728395164444e-24,1.3233233207644845e-24,0.2944626279990113,-0.2944626279990113
112,8080,22.0,-31.999999999999993,-56.0,1.0736391464317048e-24,1.194288441786187e-24,0.46250891145181416,-0.46250891145181416
113,8150,-2.0,-24.000000000000004,-56.0,1.3236032197315714e-24,1.4091268397237159e-24,0.2719227208247032,-0.2719227208247032
114,8152,6.000000000000001,-24.000000000000004,-56.0,1.2060913003550377e-24,1.295976808689623e-24,0.3121704510109175,-0.3121704510109175
